trial_type,planned_onset,duration,iti_dur,trial_num,calculation_dur,feedback_dur,post_induction_dur,subject,ses,task,run,onset
induction,70.0,6,10,1,2,4,6,922,1,feedback,2,70.0
induction,96.0,6,8,2,2,4,6,922,1,feedback,2,96.0
induction,120.0,6,6,3,2,4,6,922,1,feedback,2,120.0
induction,144.0,6,6,4,2,4,6,922,1,feedback,2,144.0
induction,172.0,6,10,5,2,4,6,922,1,feedback,2,172.0
induction,198.0,6,8,6,2,4,6,922,1,feedback,2,198.0
induction,226.0,6,10,7,2,4,6,922,1,feedback,2,226.0
induction,252.0,6,8,8,2,4,6,922,1,feedback,2,252.0
induction,276.0,6,6,9,2,4,6,922,1,feedback,2,276.0
induction,300.0,6,6,10,2,4,6,922,1,feedback,2,300.0
induction,328.0,6,10,11,2,4,6,922,1,feedback,2,328.0
induction,354.0,6,8,12,2,4,6,922,1,feedback,2,354.0
induction,380.0,6,8,13,2,4,6,922,1,feedback,2,380.0
induction,408.0,6,10,14,2,4,6,922,1,feedback,2,408.0
induction,432.0,6,6,15,2,4,6,922,1,feedback,2,432.0
induction,458.0,6,8,16,2,4,6,922,1,feedback,2,458.0
induction,486.0,6,10,17,2,4,6,922,1,feedback,2,486.0
induction,510.0,6,6,18,2,4,6,922,1,feedback,2,510.0
