label,TR,trial_num
initial_iti,1,
initial_iti,2,
initial_iti,3,
initial_iti,4,
initial_iti,5,
initial_iti,6,
initial_iti,7,
initial_iti,8,
initial_iti,9,
initial_iti,10,
initial_iti,11,
initial_iti,12,
initial_iti,13,
initial_iti,14,
initial_iti,15,
initial_iti,16,
initial_iti,17,
initial_iti,18,
initial_iti,19,
initial_iti,20,
initial_iti,21,
initial_iti,22,
initial_iti,23,
initial_iti,24,
initial_iti,25,
initial_iti,26,
initial_iti,27,
initial_iti,28,
initial_iti,29,
initial_iti,30,
iti,31,
iti,32,
iti,33,
iti,34,
iti,35,
induction,36,1.0
induction,37,1.0
induction,38,1.0
post_induction,39,1.0
post_induction,40,1.0
post_induction,41,1.0
calculation,42,1.0
feedback,43,1.0
feedback,44,1.0
iti,45,
iti,46,
iti,47,
iti,48,
induction,49,2.0
induction,50,2.0
induction,51,2.0
post_induction,52,2.0
post_induction,53,2.0
post_induction,54,2.0
calculation,55,2.0
feedback,56,2.0
feedback,57,2.0
iti,58,
iti,59,
iti,60,
induction,61,3.0
induction,62,3.0
induction,63,3.0
post_induction,64,3.0
post_induction,65,3.0
post_induction,66,3.0
calculation,67,3.0
feedback,68,3.0
feedback,69,3.0
iti,70,
iti,71,
iti,72,
induction,73,4.0
induction,74,4.0
induction,75,4.0
post_induction,76,4.0
post_induction,77,4.0
post_induction,78,4.0
calculation,79,4.0
feedback,80,4.0
feedback,81,4.0
iti,82,
iti,83,
iti,84,
iti,85,
iti,86,
induction,87,5.0
induction,88,5.0
induction,89,5.0
post_induction,90,5.0
post_induction,91,5.0
post_induction,92,5.0
calculation,93,5.0
feedback,94,5.0
feedback,95,5.0
iti,96,
iti,97,
iti,98,
iti,99,
induction,100,6.0
induction,101,6.0
induction,102,6.0
post_induction,103,6.0
post_induction,104,6.0
post_induction,105,6.0
calculation,106,6.0
feedback,107,6.0
feedback,108,6.0
iti,109,
iti,110,
iti,111,
iti,112,
iti,113,
induction,114,7.0
induction,115,7.0
induction,116,7.0
post_induction,117,7.0
post_induction,118,7.0
post_induction,119,7.0
calculation,120,7.0
feedback,121,7.0
feedback,122,7.0
iti,123,
iti,124,
iti,125,
iti,126,
induction,127,8.0
induction,128,8.0
induction,129,8.0
post_induction,130,8.0
post_induction,131,8.0
post_induction,132,8.0
calculation,133,8.0
feedback,134,8.0
feedback,135,8.0
iti,136,
iti,137,
iti,138,
induction,139,9.0
induction,140,9.0
induction,141,9.0
post_induction,142,9.0
post_induction,143,9.0
post_induction,144,9.0
calculation,145,9.0
feedback,146,9.0
feedback,147,9.0
iti,148,
iti,149,
iti,150,
induction,151,10.0
induction,152,10.0
induction,153,10.0
post_induction,154,10.0
post_induction,155,10.0
post_induction,156,10.0
calculation,157,10.0
feedback,158,10.0
feedback,159,10.0
iti,160,
iti,161,
iti,162,
iti,163,
iti,164,
induction,165,11.0
induction,166,11.0
induction,167,11.0
post_induction,168,11.0
post_induction,169,11.0
post_induction,170,11.0
calculation,171,11.0
feedback,172,11.0
feedback,173,11.0
iti,174,
iti,175,
iti,176,
iti,177,
induction,178,12.0
induction,179,12.0
induction,180,12.0
post_induction,181,12.0
post_induction,182,12.0
post_induction,183,12.0
calculation,184,12.0
feedback,185,12.0
feedback,186,12.0
iti,187,
iti,188,
iti,189,
iti,190,
induction,191,13.0
induction,192,13.0
induction,193,13.0
post_induction,194,13.0
post_induction,195,13.0
post_induction,196,13.0
calculation,197,13.0
feedback,198,13.0
feedback,199,13.0
iti,200,
iti,201,
iti,202,
iti,203,
iti,204,
induction,205,14.0
induction,206,14.0
induction,207,14.0
post_induction,208,14.0
post_induction,209,14.0
post_induction,210,14.0
calculation,211,14.0
feedback,212,14.0
feedback,213,14.0
iti,214,
iti,215,
iti,216,
induction,217,15.0
induction,218,15.0
induction,219,15.0
post_induction,220,15.0
post_induction,221,15.0
post_induction,222,15.0
calculation,223,15.0
feedback,224,15.0
feedback,225,15.0
iti,226,
iti,227,
iti,228,
iti,229,
induction,230,16.0
induction,231,16.0
induction,232,16.0
post_induction,233,16.0
post_induction,234,16.0
post_induction,235,16.0
calculation,236,16.0
feedback,237,16.0
feedback,238,16.0
iti,239,
iti,240,
iti,241,
iti,242,
iti,243,
induction,244,17.0
induction,245,17.0
induction,246,17.0
post_induction,247,17.0
post_induction,248,17.0
post_induction,249,17.0
calculation,250,17.0
feedback,251,17.0
feedback,252,17.0
iti,253,
iti,254,
iti,255,
induction,256,18.0
induction,257,18.0
induction,258,18.0
post_induction,259,18.0
post_induction,260,18.0
post_induction,261,18.0
calculation,262,18.0
feedback,263,18.0
feedback,264,18.0
post_iti,265,
post_iti,266,
post_iti,267,
post_iti,268,
post_iti,269,
post_iti,270,
