trial_type,planned_onset,duration,iti_dur,trial_num,calculation_dur,feedback_dur,post_induction_dur,subject,ses,task,run,onset
induction,66.0,6,6,1,2,4,6,922,1,feedback,3,66.0
induction,92.0,6,8,2,2,4,6,922,1,feedback,3,92.0
induction,120.0,6,10,3,2,4,6,922,1,feedback,3,120.0
induction,148.0,6,10,4,2,4,6,922,1,feedback,3,148.0
induction,174.0,6,8,5,2,4,6,922,1,feedback,3,174.0
induction,198.0,6,6,6,2,4,6,922,1,feedback,3,198.0
induction,222.0,6,6,7,2,4,6,922,1,feedback,3,222.0
induction,250.0,6,10,8,2,4,6,922,1,feedback,3,250.0
induction,276.0,6,8,9,2,4,6,922,1,feedback,3,276.0
induction,304.0,6,10,10,2,4,6,922,1,feedback,3,304.0
induction,330.0,6,8,11,2,4,6,922,1,feedback,3,330.0
induction,354.0,6,6,12,2,4,6,922,1,feedback,3,354.0
induction,382.0,6,10,13,2,4,6,922,1,feedback,3,382.0
induction,406.0,6,6,14,2,4,6,922,1,feedback,3,406.0
induction,432.0,6,8,15,2,4,6,922,1,feedback,3,432.0
induction,458.0,6,8,16,2,4,6,922,1,feedback,3,458.0
induction,482.0,6,6,17,2,4,6,922,1,feedback,3,482.0
induction,510.0,6,10,18,2,4,6,922,1,feedback,3,510.0
